Year,Month,Day of month,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,flight num,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay
1987,10,14,3,741,730,912,849,PS,1458,NA,91,79,NA,23,11,SAN,SFO,447,0,N,N,,,,
1987,10,15,4,729,730,903,849,PS,1225,NA,94,79,NA,14,-1,SAN,SFO,447,0,N,N,,,,
1987,10,17,6,741,730,918,849,PS,5667,NA,97,79,NA,29,11,SAN,SFO,447,0,N,N,,,,
1987,10,18,7,729,730,847,849,PS,3445,NA,78,79,NA,-2,-1,SAN,SFO,447,0,N,N,,,,
1987,10,19,1,749,730,922,849,PS,2233,NA,93,79,NA,33,19,SAN,SFO,447,1,A,N,,,,
1987,10,21,3,728,730,848,849,PS,4567,NA,80,79,NA,-1,-2,SAN,SFO,447,1,A,N,,,,
1987,10,22,4,728,730,852,849,PS,8765,NA,84,79,NA,3,-2,SAN,SFO,447,1,B,N,,,,
1987,10,23,5,731,730,902,849,PS,3568,NA,91,79,NA,13,1,SAN,SFO,447,1,A,Y,,,,
1987,10,24,6,744,730,908,849,PS,1254,NA,84,79,NA,19,14,SAN,SFO,447,1,A,Y,,,,
1987,10,25,7,729,730,851,849,PS,5432,NA,82,79,NA,2,-1,SAN,SFO,447,1,C,N,,,,
1987,10,26,1,735,730,904,849,PS,6543,NA,89,79,NA,15,5,SAN,SFO,447,0,N,Y,,,,
1987,10,28,3,741,725,919,855,PS,7689,NA,98,90,NA,24,16,SAN,SFO,447,0,N,N,,,,
1987,10,29,4,742,725,906,855,PS,9876,NA,84,90,NA,11,17,SAN,SFO,447,1,A,Y,,,,
1987,10,31,6,726,725,848,855,PS,5890,NA,82,90,NA,-7,1,SAN,SFO,447,1,A,N,,,,
1987,10,1,4,936,915,1035,1001,PS,2596,NA,59,46,NA,34,21,SFO,RNO,192,1,A,Y,,,,
1987,10,2,5,918,915,1017,1001,PS,1334,NA,59,46,NA,16,3,SFO,RNO,192,0,N,N,,,,
1987,10,3,6,928,915,1037,1001,PS,2255,NA,69,46,NA,36,13,SFO,RNO,192,0,N,N,,,,
1987,10,4,7,914,915,1003,1001,PS,3445,NA,49,46,NA,2,-1,SFO,RNO,192,0,N,N,,,,
1987,10,5,1,1042,915,1129,1001,PS,1345,NA,47,46,NA,88,87,SFO,RNO,192,0,N,N,,,,
1987,10,6,2,934,915,1024,1001,PS,1458,NA,50,46,NA,23,19,SFO,RNO,192,0,N,N,,,,
1987,10,7,3,946,915,1037,1001,PS,1225,NA,51,46,NA,36,31,SFO,RNO,192,0,N,N,,,,
1987,10,8,4,932,915,1033,1001,PS,5667,NA,61,46,NA,32,17,SFO,RNO,192,0,N,N,,,,
