,Year,Month,Day of month,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,flight num,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,Haul
99,1988,1,9,6,1348.0,1331,1458.0,1435,PI,1458,,70.0,64,,23.0,17.0,SYR,BWI,273,0,N,N,,,,,Short
100,1988,1,10,7,1334.0,1331,1443.0,1435,PI,1225,,69.0,64,,8.0,3.0,SYR,BWI,273,0,N,N,,,,,Short
101,1988,1,11,1,1446.0,1331,1553.0,1435,PI,5667,,67.0,64,,78.0,75.0,SYR,BWI,273,0,N,N,,,,,Short
102,1988,1,12,2,1334.0,1331,1438.0,1435,PI,3445,,64.0,64,,3.0,3.0,SYR,BWI,273,0,N,N,,,,,Short
103,1988,1,13,3,1341.0,1331,1503.0,1435,PI,2233,,82.0,64,,28.0,10.0,SYR,BWI,273,0,A,N,,,,,Short
104,1988,1,14,4,1332.0,1331,1447.0,1435,PI,4567,,75.0,64,,12.0,1.0,SYR,BWI,273,1,A,N,,,,,Short
105,1988,1,15,5,1331.0,1331,1434.0,1435,PI,8765,,63.0,64,,-1.0,0.0,SYR,BWI,273,1,B,N,,,,,Short
106,1988,1,16,6,1327.0,1331,1427.0,1435,PI,3568,,60.0,64,,-8.0,-4.0,SYR,BWI,273,1,A,Y,,,,,Short
107,1988,1,17,7,1331.0,1331,1440.0,1435,PI,1254,,69.0,64,,5.0,0.0,SYR,BWI,273,1,A,Y,,,,,Short
108,1988,1,18,1,1349.0,1331,1519.0,1435,PI,5432,,90.0,64,,44.0,18.0,SYR,BWI,273,1,C,N,,,,,Short
109,1988,1,19,2,1337.0,1331,1438.0,1435,PI,6543,,61.0,64,,3.0,6.0,SYR,BWI,273,1,N,Y,,,,,Short
110,1988,1,20,3,1337.0,1331,1452.0,1435,PI,7689,,75.0,64,,17.0,6.0,SYR,BWI,273,0,N,N,,,,,Short
111,1988,1,21,4,1330.0,1331,1459.0,1435,PI,9876,,89.0,64,,24.0,-1.0,SYR,BWI,273,0,A,Y,,,,,Short
112,1988,2,22,5,1331.0,1331,1434.0,1435,PI,5890,,63.0,64,,-1.0,0.0,SYR,BWI,273,1,A,N,,,,,Short
113,1988,2,23,6,1333.0,1331,1436.0,1435,PI,2596,,63.0,64,,1.0,2.0,SYR,BWI,273,1,A,Y,,,,,Short
114,1988,2,24,7,1328.0,1331,1430.0,1435,PI,1334,,62.0,64,,-5.0,-3.0,SYR,BWI,273,1,N,N,,,,,Short
115,1988,2,25,1,1330.0,1331,1444.0,1435,PI,2255,,74.0,64,,9.0,-1.0,SYR,BWI,273,0,N,N,,,,,Short
116,1988,2,26,2,1407.0,1331,1518.0,1435,PI,3445,,71.0,64,,43.0,36.0,SYR,BWI,273,0,N,N,,,,,Short
117,1988,2,27,3,1332.0,1331,1445.0,1435,PI,1345,,73.0,64,,10.0,1.0,SYR,BWI,273,0,N,N,,,,,Short
118,1988,2,28,4,1331.0,1331,1438.0,1435,PI,1458,,67.0,64,,3.0,0.0,SYR,BWI,273,0,N,N,,,,,Short
119,1988,2,29,5,1339.0,1331,1442.0,1435,PI,1225,,63.0,64,,7.0,8.0,SYR,BWI,273,0,N,N,,,,,Short
120,1988,2,30,6,1332.0,1331,1435.0,1435,PI,5667,,63.0,64,,0.0,1.0,SYR,BWI,273,0,N,N,,,,,Short
121,1988,2,31,7,1329.0,1331,1434.0,1435,PI,3445,,65.0,64,,-1.0,-2.0,SYR,BWI,273,0,N,N,,,,,Short
122,1988,2,1,5,947.0,950,1050.0,1050,PI,2233,,63.0,60,,0.0,-3.0,LGA,SYR,198,0,N,N,,,,,Short
123,1988,2,3,7,957.0,950,1048.0,1050,PI,4567,,51.0,60,,-2.0,7.0,LGA,SYR,198,0,N,N,,,,,Short
124,1988,2,4,1,1107.0,950,1219.0,1050,PI,8765,,72.0,60,,89.0,77.0,LGA,SYR,198,0,N,N,,,,,Short
125,1988,2,6,3,950.0,950,1100.0,1050,PI,3568,,70.0,60,,10.0,0.0,LGA,SYR,198,0,N,Y,,,,,Short
126,1988,2,7,4,956.0,950,1047.0,1050,PI,1254,,51.0,60,,-3.0,6.0,LGA,SYR,198,0,B,N,,,,,Short
128,1988,2,11,1,950.0,950,1042.0,1050,PI,6543,,52.0,60,,-8.0,0.0,LGA,SYR,198,1,C,N,,,,,Short
129,1988,2,12,2,949.0,950,1051.0,1050,PI,7689,,62.0,60,,1.0,-1.0,LGA,SYR,198,1,A,Y,,,,,Short
130,1988,3,13,3,1023.0,950,1117.0,1050,PI,9876,,54.0,60,,27.0,33.0,LGA,SYR,198,1,B,N,,,,,Short
131,1988,3,14,4,1020.0,950,1128.0,1050,PI,5890,,68.0,60,,38.0,30.0,LGA,SYR,198,1,N,Y,,,,,Short
132,1988,3,15,5,951.0,950,1043.0,1050,PI,2596,,52.0,60,,-7.0,1.0,LGA,SYR,198,0,N,N,,,,,Short
133,1988,3,16,6,950.0,950,1047.0,1050,PI,1334,,57.0,60,,-3.0,0.0,LGA,SYR,198,0,N,Y,,,,,Short
135,1988,3,19,2,955.0,950,1100.0,1050,PI,3445,,65.0,60,,10.0,5.0,LGA,SYR,198,0,N,N,,,,,Short
136,1988,3,20,3,956.0,950,1056.0,1050,PI,1345,,60.0,60,,6.0,6.0,LGA,SYR,198,0,N,N,,,,,Short
137,1988,3,21,4,1002.0,950,1055.0,1050,PI,1458,,53.0,60,,5.0,12.0,LGA,SYR,198,0,A,N,,,,,Short
138,1988,3,22,5,953.0,950,1056.0,1050,PI,1225,,63.0,60,,6.0,3.0,LGA,SYR,198,1,A,N,,,,,Short
139,1988,3,23,6,950.0,950,1041.0,1050,PI,5667,,51.0,60,,-9.0,0.0,LGA,SYR,198,1,A,N,,,,,Short
140,1988,3,25,1,951.0,950,1049.0,1050,PI,3445,,58.0,60,,-1.0,1.0,LGA,SYR,198,1,B,N,,,,,Short
